continent,Year,Life Expectancy at Birth
AFRICA,1950,37.624
AFRICA,1951,37.931
AFRICA,1952,38.443
AFRICA,1953,38.915
AFRICA,1954,39.299
AFRICA,1955,39.801
AFRICA,1957,40.013
AFRICA,1956,40.17
AFRICA,1958,40.303
AFRICA,1959,41.282
AFRICA,1960,41.482
AFRICA,1961,41.869
AFRICA,1962,42.321
AFRICA,1963,42.777
AFRICA,1964,43.246
AFRICA,1966,43.433
AFRICA,1965,43.44
AFRICA,1967,43.646
AFRICA,1968,44.102
AFRICA,1969,44.316
AFRICA,1970,44.783
AFRICA,1971,45.322
AFRICA,1972,45.407
AFRICA,1973,46.154
AFRICA,1974,46.46
AFRICA,1975,46.903
AFRICA,1976,47.64
AFRICA,1977,48.164
AFRICA,1978,48.565
AFRICA,1979,49.096
AFRICA,1980,49.512
AFRICA,1983,49.55
AFRICA,1984,49.705
AFRICA,1981,49.914
AFRICA,1985,50.086
AFRICA,1982,50.282
AFRICA,1988,50.429
AFRICA,1994,50.516
AFRICA,1986,50.55
AFRICA,1987,50.895
AFRICA,1992,51.236
AFRICA,1991,51.485
AFRICA,1993,51.549
AFRICA,1990,51.647
AFRICA,1989,51.679
AFRICA,1998,51.896
AFRICA,1995,52.116
AFRICA,1996,52.128
AFRICA,1997,52.307
AFRICA,1999,52.775
AFRICA,2000,53.35
AFRICA,2001,53.62
AFRICA,2002,53.999
AFRICA,2003,54.422
AFRICA,2004,54.896
AFRICA,2005,55.467
AFRICA,2006,56.139
AFRICA,2007,56.73
AFRICA,2008,57.308
AFRICA,2009,58.016
AFRICA,2010,58.608
AFRICA,2011,59.251
AFRICA,2012,59.811
AFRICA,2013,60.292
AFRICA,2014,60.746
AFRICA,2015,61.129
AFRICA,2016,61.588
AFRICA,2021,61.661
AFRICA,2017,61.986
AFRICA,2020,62.234
AFRICA,2018,62.343
AFRICA,2019,62.688
AMERICA,1950,48.559
AMERICA,1951,49.046
AMERICA,1952,49.773
AMERICA,1953,50.395
AMERICA,1954,51.102
AMERICA,1955,51.659
AMERICA,1956,52.339
AMERICA,1957,52.867
AMERICA,1958,53.549
AMERICA,1959,54.073
AMERICA,1960,54.655
AMERICA,1961,55.223
AMERICA,1962,55.692
AMERICA,1963,56.119
AMERICA,1964,56.648
AMERICA,1965,57.057
AMERICA,1966,57.486
AMERICA,1967,57.876
AMERICA,1968,58.249
AMERICA,1969,58.599
AMERICA,1970,58.61
AMERICA,1971,59.505
AMERICA,1972,59.873
AMERICA,1973,60.44
AMERICA,1974,60.862
AMERICA,1975,61.406
AMERICA,1976,61.608
AMERICA,1977,62.214
AMERICA,1978,62.578
AMERICA,1979,62.921
AMERICA,1980,63.332
AMERICA,1981,63.825
AMERICA,1982,64.139
AMERICA,1983,64.736
AMERICA,1984,65.156
AMERICA,1985,65.512
AMERICA,1986,66.123
AMERICA,1987,66.571
AMERICA,1988,67.005
AMERICA,1989,67.36
AMERICA,1990,67.659
AMERICA,1991,68.035
AMERICA,1950,68.043
AMERICA,1951,68.171
AMERICA,1952,68.366
AMERICA,1992,68.377
AMERICA,1953,68.704
AMERICA,1993,68.712
AMERICA,1994,69.106
AMERICA,1995,69.413
AMERICA,1957,69.431
AMERICA,1954,69.504
AMERICA,1955,69.562
AMERICA,1956,69.639
AMERICA,1958,69.723
AMERICA,1996,69.793
AMERICA,1960,69.901
AMERICA,1959,69.94
AMERICA,1963,70.035
AMERICA,1997,70.144
AMERICA,1962,70.188
AMERICA,1964,70.308
AMERICA,1961,70.312
AMERICA,1966,70.341
AMERICA,1965,70.367
AMERICA,1968,70.373
AMERICA,1998,70.388
AMERICA,1969,70.642
AMERICA,1967,70.649
AMERICA,1999,70.821
AMERICA,1970,70.897
AMERICA,2000,71.137
AMERICA,1971,71.256
AMERICA,1972,71.317
AMERICA,2001,71.408
AMERICA,1973,71.538
AMERICA,2002,71.757
AMERICA,2003,71.937
AMERICA,1974,72.059
AMERICA,2021,72.164
AMERICA,2004,72.27
AMERICA,1975,72.619
AMERICA,2005,72.673
AMERICA,2006,72.894
AMERICA,1976,72.932
AMERICA,2007,73.034
AMERICA,2020,73.095
AMERICA,2010,73.195
AMERICA,2008,73.276
AMERICA,1977,73.304
AMERICA,2009,73.487
AMERICA,1978,73.499
AMERICA,1980,73.842
AMERICA,2011,73.867
AMERICA,1979,73.916
AMERICA,2012,74.101
AMERICA,1981,74.233
AMERICA,2013,74.359
AMERICA,1982,74.57
AMERICA,2014,74.576
AMERICA,2016,74.593
AMERICA,2015,74.637
AMERICA,1983,74.685
AMERICA,2017,74.756
AMERICA,1985,74.802
AMERICA,1984,74.823
AMERICA,2018,74.871
AMERICA,1986,74.889
AMERICA,1988,75.021
AMERICA,1987,75.037
AMERICA,2019,75.055
AMERICA,1989,75.297
AMERICA,1990,75.569
AMERICA,1991,75.723
AMERICA,1993,75.776
AMERICA,1994,75.947
AMERICA,1992,75.978
AMERICA,1995,76.064
AMERICA,1996,76.379
AMERICA,1997,76.689
AMERICA,1998,76.854
AMERICA,1999,76.883
AMERICA,2000,77.04
AMERICA,2001,77.168
