Income Group,Year,Life Expectancy at Birth
High-income countries,1950,61.542
High-income countries,1951,62.562
High-income countries,1952,64.32
High-income countries,1953,64.987
High-income countries,1954,65.926
High-income countries,1955,66.353
High-income countries,1956,66.568
High-income countries,1957,66.609
High-income countries,1958,67.534
High-income countries,1959,67.681
High-income countries,1960,68.026
High-income countries,1961,68.451
High-income countries,1962,68.405
High-income countries,1963,68.648
High-income countries,1964,69.227
High-income countries,1965,69.336
High-income countries,1966,69.604
High-income countries,1967,69.886
High-income countries,1968,69.813
High-income countries,1969,69.865
High-income countries,1970,70.231
High-income countries,1971,70.541
High-income countries,1972,70.823
High-income countries,1973,70.995
High-income countries,1974,71.397
High-income countries,1975,71.648
High-income countries,1976,71.913
High-income countries,1977,72.322
High-income countries,1978,72.508
High-income countries,1979,72.88
High-income countries,1980,72.892
High-income countries,1981,73.33
High-income countries,1982,73.657
High-income countries,1983,73.714
High-income countries,1984,74.091
High-income countries,1985,74.148
High-income countries,1986,74.424
High-income countries,1987,74.718
High-income countries,1988,74.867
High-income countries,1989,75.086
High-income countries,1990,75.289
High-income countries,1991,75.475
High-income countries,1992,75.77
High-income countries,1993,75.826
High-income countries,1994,76.138
High-income countries,1995,76.236
High-income countries,1996,76.558
High-income countries,1997,76.906
High-income countries,1998,77.113
High-income countries,1999,77.258
High-income countries,2000,77.626
High-income countries,2001,77.902
High-income countries,2002,78.046
High-income countries,2003,78.126
High-income countries,2004,78.587
High-income countries,2005,78.694
High-income countries,2006,79.058
High-income countries,2007,79.261
High-income countries,2008,79.464
High-income countries,2009,79.764
High-income countries,2010,79.983
High-income countries,2011,80.155
High-income countries,2012,80.284
High-income countries,2013,80.48
High-income countries,2014,80.709
High-income countries,2015,80.601
High-income countries,2016,80.8
High-income countries,2017,80.842
High-income countries,2018,80.985
High-income countries,2019,81.215
High-income countries,2020,80.374
High-income countries,2021,80.269
Lower-middle-income countries,1950,41.129
Lower-middle-income countries,1951,41.431
Lower-middle-income countries,1952,42.036
Lower-middle-income countries,1953,42.453
Lower-middle-income countries,1954,43.222
Lower-middle-income countries,1955,43.853
Lower-middle-income countries,1956,44.352
Lower-middle-income countries,1957,44.83
Lower-middle-income countries,1958,45.321
Lower-middle-income countries,1959,45.877
Lower-middle-income countries,1960,46.251
Lower-middle-income countries,1961,46.625
Lower-middle-income countries,1962,47.036
Lower-middle-income countries,1963,47.427
Lower-middle-income countries,1964,47.864
Lower-middle-income countries,1965,46.739
Lower-middle-income countries,1966,47.7
Lower-middle-income countries,1967,48.172
Lower-middle-income countries,1968,49.149
Lower-middle-income countries,1969,49.584
Lower-middle-income countries,1970,49.559
Lower-middle-income countries,1971,48.17
Lower-middle-income countries,1972,50.688
Lower-middle-income countries,1973,51.242
Lower-middle-income countries,1974,51.722
Lower-middle-income countries,1975,51.91
Lower-middle-income countries,1976,52.415
Lower-middle-income countries,1977,53.434
Lower-middle-income countries,1978,53.961
Lower-middle-income countries,1979,54.515
Lower-middle-income countries,1980,55.024
Lower-middle-income countries,1981,55.456
Lower-middle-income countries,1982,55.934
Lower-middle-income countries,1983,56.439
Lower-middle-income countries,1984,56.924
Lower-middle-income countries,1985,57.347
Lower-middle-income countries,1986,57.792
Lower-middle-income countries,1987,58.13
Lower-middle-income countries,1988,58.478
Lower-middle-income countries,1989,58.868
Lower-middle-income countries,1990,59.163
Lower-middle-income countries,1991,59.345
Lower-middle-income countries,1992,59.742
Lower-middle-income countries,1993,59.948
Lower-middle-income countries,1994,60.171
Lower-middle-income countries,1995,60.411
Lower-middle-income countries,1996,60.663
Lower-middle-income countries,1997,61.039
Lower-middle-income countries,1998,61.434
Lower-middle-income countries,1999,61.871
Lower-middle-income countries,2000,62.173
Lower-middle-income countries,2001,62.515
Lower-middle-income countries,2002,62.939
Lower-middle-income countries,2003,63.299
Lower-middle-income countries,2004,63.507
Lower-middle-income countries,2005,64
Lower-middle-income countries,2006,64.432
Lower-middle-income countries,2007,64.727
Lower-middle-income countries,2008,64.9
Lower-middle-income countries,2009,65.37
Lower-middle-income countries,2010,65.699
Lower-middle-income countries,2011,66.164
Lower-middle-income countries,2012,66.55
Lower-middle-income countries,2013,66.943
Lower-middle-income countries,2014,67.375
Lower-middle-income countries,2015,67.755
Lower-middle-income countries,2016,68.117
Lower-middle-income countries,2017,68.421
Lower-middle-income countries,2018,68.667
Lower-middle-income countries,2019,68.859
Lower-middle-income countries,2020,68.143
Lower-middle-income countries,2021,66.448
Low-income countries,1950,31.592
Low-income countries,1951,33.441
Low-income countries,1952,36.336
Low-income countries,1953,37.262
Low-income countries,1954,38.21
Low-income countries,1955,38.672
Low-income countries,1956,39.047
Low-income countries,1957,38.367
Low-income countries,1958,38.63
Low-income countries,1959,40.097
Low-income countries,1960,40.491
Low-income countries,1961,40.798
Low-income countries,1962,41.108
Low-income countries,1963,41.271
Low-income countries,1964,41.895
Low-income countries,1965,41.953
Low-income countries,1966,41.757
Low-income countries,1967,42.512
Low-income countries,1968,42.881
Low-income countries,1969,43.153
Low-income countries,1970,43.481
Low-income countries,1971,44.01
Low-income countries,1972,43.645
Low-income countries,1973,44.522
Low-income countries,1974,44.53
Low-income countries,1975,44.782
Low-income countries,1976,45.506
Low-income countries,1977,45.821
Low-income countries,1978,46.004
Low-income countries,1979,46.42
Low-income countries,1980,46.744
Low-income countries,1981,47.001
Low-income countries,1982,47.128
Low-income countries,1983,45.579
Low-income countries,1984,45.265
Low-income countries,1985,45.688
Low-income countries,1986,46.638
Low-income countries,1987,47.229
Low-income countries,1988,46.307
Low-income countries,1989,48.62
Low-income countries,1990,48.634
Low-income countries,1991,48.444
Low-income countries,1992,48.226
Low-income countries,1993,49.119
Low-income countries,1994,47.265
Low-income countries,1995,50.127
Low-income countries,1996,50.279
Low-income countries,1997,50.728
