Income Group,Year, Births by women aged 15 to 19 (thousands), Births by women aged 15 to 19
High-income countries,1950,1093.821,1093821
High-income countries,1951,1085.396,1085396
High-income countries,1952,1067.272,1067272
High-income countries,1953,1075.843,1075843
High-income countries,1954,1107.668,1107668
High-income countries,1955,1127.027,1127027
High-income countries,1956,1170.489,1170489
High-income countries,1957,1208.318,1208318
High-income countries,1958,1221.973,1221973
High-income countries,1959,1258.836,1258836
High-income countries,1960,1275.398,1275398
High-income countries,1961,1307.567,1307567
High-income countries,1962,1306.274,1306274
High-income countries,1963,1302.308,1302308
High-income countries,1964,1316.871,1316871
High-income countries,1965,1395.678,1395678
High-income countries,1966,1480.937,1480937
High-income countries,1967,1489.641,1489641
High-income countries,1968,1472.233,1472233
High-income countries,1969,1503.517,1503517
High-income countries,1970,1579.956,1579956
High-income countries,1971,1576.638,1576638
High-income countries,1972,1544.365,1544365
High-income countries,1973,1521.631,1521631
High-income countries,1974,1530.533,1530533
High-income countries,1975,1509.622,1509622
High-income countries,1976,1471.397,1471397
High-income countries,1977,1451.223,1451223
High-income countries,1978,1419.526,1419526
High-income countries,1979,1400.999,1400999
High-income countries,1980,1392.933,1392933
High-income countries,1981,1353.729,1353729
High-income countries,1982,1323.601,1323601
High-income countries,1983,1267.154,1267154
High-income countries,1984,1215.666,1215666
High-income countries,1985,1173.92,1173920
High-income countries,1986,1141.231,1141231
High-income countries,1987,1123.049,1123049
High-income countries,1988,1124.695,1124695
High-income countries,1989,1131.473,1131473
High-income countries,1990,1143.763,1143763
High-income countries,1991,1126.414,1126414
High-income countries,1992,1083.772,1083772
High-income countries,1993,1045.498,1045498
High-income countries,1994,1014.153,1014153
High-income countries,1995,975.224,975224
High-income countries,1996,950,950000
High-income countries,1997,934.734,934734
High-income countries,1998,925.514,925514
High-income countries,1999,912.268,912268
High-income countries,2000,898.729,898729
High-income countries,2001,861.117,861117
High-income countries,2002,824.905,824905
High-income countries,2003,801.843,801843
High-income countries,2004,792.329,792329
High-income countries,2005,786.691,786691
High-income countries,2006,800.211,800211
High-income countries,2007,815.268,815268
High-income countries,2008,816.218,816218
High-income countries,2009,782.106,782106
High-income countries,2010,724.414,724414
High-income countries,2011,666.215,666215
High-income countries,2012,625.647,625647
High-income countries,2013,574.837,574837
High-income countries,2014,532.952,532952
High-income countries,2015,493.579,493579
High-income countries,2016,458.951,458951
High-income countries,2017,425.914,425914
High-income countries,2018,398.725,398725
High-income countries,2019,386.995,386995
High-income countries,2020,377.215,377215
High-income countries,2021,378.663,378663
Lower-middle-income countries,1950,5231.506,5231506
Lower-middle-income countries,1951,5364.76,5364760
Lower-middle-income countries,1952,5497.629,5497629
Lower-middle-income countries,1953,5608.412,5608412
Lower-middle-income countries,1954,5738.633,5738633
Lower-middle-income countries,1955,5843.838,5843838
Lower-middle-income countries,1956,5934.576,5934576
Lower-middle-income countries,1957,6027.89,6027890
Lower-middle-income countries,1958,6106.806,6106806
Lower-middle-income countries,1959,6188.923,6188923
Lower-middle-income countries,1960,6306.282,6306282
Lower-middle-income countries,1961,6440.32,6440320
Lower-middle-income countries,1962,6570.149,6570149
Lower-middle-income countries,1963,6680.814,6680814
Lower-middle-income countries,1964,6812.43,6812430
Lower-middle-income countries,1965,7048.227,7048227
Lower-middle-income countries,1966,7275.146,7275146
Lower-middle-income countries,1967,7560.063,7560063
Lower-middle-income countries,1968,7800.551,7800551
Lower-middle-income countries,1969,8045.904,8045904
Lower-middle-income countries,1970,8261.756,8261756
Lower-middle-income countries,1971,8625.785,8625785
Lower-middle-income countries,1972,8913.513,8913513
Lower-middle-income countries,1973,9204.818,9204818
Lower-middle-income countries,1974,9382.04,9382040
Lower-middle-income countries,1975,9444.24,9444240
Lower-middle-income countries,1976,9562.903,9562903
Lower-middle-income countries,1977,9391.125,9391125
Lower-middle-income countries,1978,9560.682,9560682
Lower-middle-income countries,1979,10010.201,10010201
Lower-middle-income countries,1980,10214.323,10214323
Lower-middle-income countries,1981,10525.923,10525923
Lower-middle-income countries,1982,10649.519,10649519
Lower-middle-income countries,1983,10681.96,10681960
Lower-middle-income countries,1984,10767.422,10767422
Lower-middle-income countries,1985,10777.865,10777865
Lower-middle-income countries,1986,10839.001,10839001
Lower-middle-income countries,1987,10401.151,10401151
Lower-middle-income countries,1988,10718.78,10718780
Lower-middle-income countries,1989,10912.034,10912034
Lower-middle-income countries,1990,10697.924,10697924
Lower-middle-income countries,1991,11088.02,11088020
Lower-middle-income countries,1992,11267.918,11267918
Lower-middle-income countries,1993,11175.22,11175220
Lower-middle-income countries,1994,11334.548,11334548
Lower-middle-income countries,1995,11352.486,11352486
Lower-middle-income countries,1996,11060.67,11060670
Lower-middle-income countries,1997,11067.478,11067478
Lower-middle-income countries,1998,11158.41,11158410
Lower-middle-income countries,1999,11035.651,11035651
Lower-middle-income countries,2000,11026.851,11026851
Lower-middle-income countries,2001,11078.09,11078090
Lower-middle-income countries,2002,10813.052,10813052
Lower-middle-income countries,2003,10527.849,10527849
Lower-middle-income countries,2004,9786.437,9786437
Lower-middle-income countries,2005,8772.413,8772413
Lower-middle-income countries,2006,8341.137,8341137
Lower-middle-income countries,2007,8259.315,8259315
Lower-middle-income countries,2008,8430.509,8430509
Lower-middle-income countries,2009,8064.818,8064818
Lower-middle-income countries,2010,8005.735,8005735
Lower-middle-income countries,2011,7813.682,7813682
Lower-middle-income countries,2012,7735.209,7735209
Lower-middle-income countries,2013,7742.295,7742295
Lower-middle-income countries,2014,7681.837,7681837
Lower-middle-income countries,2015,6841.6,6841600
Lower-middle-income countries,2016,6618.604,6618604
Lower-middle-income countries,2017,6603.345,6603345
Lower-middle-income countries,2018,6577.254,6577254
Lower-middle-income countries,2019,6499.145,6499145
Lower-middle-income countries,2020,6484.062,6484062
