continent,Year,GDP per capita
AFRICA,1950,462
AFRICA,1950,489
AFRICA,1950,516
AFRICA,1950,520
AFRICA,1950,534
AFRICA,1950,595
AFRICA,1950,604
AFRICA,1950,620
AFRICA,1950,622
AFRICA,1950,631
AFRICA,1950,676
AFRICA,1950,679
AFRICA,1950,728
AFRICA,1950,756
AFRICA,1950,797
AFRICA,1950,815
AFRICA,1950,870
AFRICA,1950,902
AFRICA,1950,909
AFRICA,1950,982
AFRICA,1950,983
AFRICA,1950,1006
AFRICA,1950,1020
AFRICA,1950,1038
AFRICA,1950,1054
AFRICA,1950,1070
AFRICA,1950,1095
AFRICA,1950,1117
AFRICA,1950,1200
AFRICA,1950,1278
AFRICA,1950,1307
AFRICA,1950,1450.9724
AFRICA,1950,1516
AFRICA,1950,1627
AFRICA,1950,1659
AFRICA,1950,1677
AFRICA,1950,1693
AFRICA,1950,1777
AFRICA,1950,1788
AFRICA,1950,1806
AFRICA,1950,2007
AFRICA,1950,2176
AFRICA,1950,2319
AFRICA,1950,2632
AFRICA,1950,2958
AFRICA,1950,3151
AFRICA,1950,3459
AFRICA,1950,3942
AFRICA,1950,4009
AFRICA,1950,4041
AFRICA,1951,489
AFRICA,1951,497
AFRICA,1951,529
AFRICA,1951,542
AFRICA,1951,553
AFRICA,1951,618
AFRICA,1951,623
AFRICA,1951,630
AFRICA,1951,657
AFRICA,1951,668
AFRICA,1951,698
AFRICA,1951,740
AFRICA,1951,743
AFRICA,1951,776
AFRICA,1951,827
AFRICA,1951,834
AFRICA,1951,885
AFRICA,1951,942
AFRICA,1951,995
AFRICA,1951,1004
AFRICA,1951,1015
AFRICA,1951,1019
AFRICA,1951,1023
AFRICA,1951,1058
AFRICA,1951,1095
AFRICA,1951,1097
AFRICA,1951,1151
AFRICA,1951,1229
AFRICA,1951,1262
AFRICA,1951,1274
AFRICA,1951,1339
AFRICA,1951,1443
AFRICA,1951,1549
AFRICA,1951,1597
AFRICA,1951,1686
AFRICA,1951,1715
AFRICA,1951,1726
AFRICA,1951,1763
AFRICA,1951,1808
AFRICA,1951,1841
AFRICA,1951,2042
AFRICA,1951,2147
AFRICA,1951,2324
AFRICA,1951,2778
AFRICA,1951,3049
AFRICA,1951,3257
AFRICA,1951,3566
AFRICA,1951,4022
AFRICA,1951,4038
AFRICA,1951,4130
AFRICA,1952,504
AFRICA,1952,516
AFRICA,1952,540
AFRICA,1952,550
AFRICA,1952,559
AFRICA,1952,626
AFRICA,1952,628
AFRICA,1952,636
AFRICA,1952,666
AFRICA,1952,697
AFRICA,1952,717
AFRICA,1952,740
AFRICA,1952,752
AFRICA,1952,797
AFRICA,1952,845
AFRICA,1952,851
AFRICA,1952,899
AFRICA,1952,958
AFRICA,1952,1022
AFRICA,1952,1023
AFRICA,1952,1031
AFRICA,1952,1058
AFRICA,1952,1063
AFRICA,1952,1065
AFRICA,1952,1071
AFRICA,1952,1122
AFRICA,1952,1140
AFRICA,1952,1154
AFRICA,1952,1272
AFRICA,1952,1323
AFRICA,1952,1369
AFRICA,1952,1435
AFRICA,1952,1565
AFRICA,1952,1581
AFRICA,1952,1714
AFRICA,1952,1728
AFRICA,1952,1755
AFRICA,1952,1758
AFRICA,1952,1878
AFRICA,1952,1945
AFRICA,1952,2077
AFRICA,1952,2193
AFRICA,1952,2327
AFRICA,1952,2821
AFRICA,1952,3143
AFRICA,1952,3277
AFRICA,1952,3585
AFRICA,1952,4002
AFRICA,1952,4066
AFRICA,1952,4175
AFRICA,1953,513
AFRICA,1953,547
AFRICA,1953,553
AFRICA,1953,563
AFRICA,1953,571
AFRICA,1953,638
AFRICA,1953,641
AFRICA,1953,662
AFRICA,1953,682
AFRICA,1953,685
AFRICA,1953,697
AFRICA,1953,736
AFRICA,1953,765
AFRICA,1953,816
AFRICA,1953,867
AFRICA,1953,870
AFRICA,1953,913
AFRICA,1953,982
AFRICA,1953,1009
AFRICA,1953,1036
AFRICA,1953,1042
AFRICA,1953,1044
AFRICA,1953,1076
AFRICA,1953,1090
AFRICA,1953,1105
AFRICA,1953,1148
AFRICA,1953,1184
AFRICA,1953,1211
AFRICA,1953,1272
AFRICA,1953,1325
AFRICA,1953,1400
AFRICA,1953,1425
AFRICA,1953,1492
AFRICA,1953,1613
AFRICA,1953,1741
AFRICA,1953,1790
AFRICA,1953,1795
AFRICA,1953,1911
AFRICA,1953,1916
AFRICA,1953,1983
AFRICA,1953,2110
AFRICA,1953,2182
AFRICA,1953,2340
AFRICA,1953,2868
AFRICA,1953,3237
AFRICA,1953,3325
AFRICA,1953,3633
AFRICA,1953,4006
AFRICA,1953,4125
AFRICA,1953,4264
AFRICA,1954,521
AFRICA,1954,566
AFRICA,1954,587
AFRICA,1954,590
AFRICA,1954,650
AFRICA,1954,652
AFRICA,1954,658
AFRICA,1954,662
AFRICA,1954,665
AFRICA,1954,708
AFRICA,1954,735
AFRICA,1954,756
AFRICA,1954,778
AFRICA,1954,838
AFRICA,1954,888
AFRICA,1954,901
AFRICA,1954,928
AFRICA,1954,1023
AFRICA,1954,1030
AFRICA,1954,1033
AFRICA,1954,1063
AFRICA,1954,1068
AFRICA,1954,1095
AFRICA,1954,1127
AFRICA,1954,1148
AFRICA,1954,1175
AFRICA,1954,1231
AFRICA,1954,1325
AFRICA,1954,1382
AFRICA,1954,1417
AFRICA,1954,1431
AFRICA,1954,1505
AFRICA,1954,1645
AFRICA,1954,1720
AFRICA,1954,1769
AFRICA,1954,1822
AFRICA,1954,1924
AFRICA,1954,1991
AFRICA,1954,2099
AFRICA,1954,2146
AFRICA,1954,2291
AFRICA,1954,2353
AFRICA,1954,2992
AFRICA,1954,3335
AFRICA,1954,3427
AFRICA,1954,3743
AFRICA,1954,4095
AFRICA,1954,4254
AFRICA,1954,4404
AFRICA,1955,529
AFRICA,1955,564
AFRICA,1955,596
AFRICA,1955,598
AFRICA,1955,622
AFRICA,1955,663
AFRICA,1955,673
AFRICA,1955,674
AFRICA,1955,719
AFRICA,1955,733
AFRICA,1955,776
AFRICA,1955,791
AFRICA,1955,807
AFRICA,1955,859
AFRICA,1955,907
AFRICA,1955,915
AFRICA,1955,940
AFRICA,1955,1034
AFRICA,1955,1044
AFRICA,1955,1071
AFRICA,1955,1074
AFRICA,1955,1082
AFRICA,1955,1138
AFRICA,1955,1144
AFRICA,1955,1170
AFRICA,1955,1173
AFRICA,1955,1191
AFRICA,1955,1202
AFRICA,1955,1288
AFRICA,1955,1379
AFRICA,1955,1411
AFRICA,1955,1462
AFRICA,1955,1474
AFRICA,1955,1677
AFRICA,1955,1796
AFRICA,1955,1830
AFRICA,1955,1854
AFRICA,1955,1855
AFRICA,1955,1913
AFRICA,1955,2007
AFRICA,1955,2179
AFRICA,1955,2303
AFRICA,1955,2364
AFRICA,1955,2979
AFRICA,1955,3437
AFRICA,1955,3454
AFRICA,1955,3765
AFRICA,1955,4095
AFRICA,1955,4288
AFRICA,1955,4511
AFRICA,1956,537
AFRICA,1956,599
AFRICA,1956,606
AFRICA,1956,610
AFRICA,1956,673
AFRICA,1956,682
AFRICA,1956,687
AFRICA,1956,703
AFRICA,1956,724
AFRICA,1956,735
AFRICA,1956,797
AFRICA,1956,803
