Year,Male Life Expectancy at Birth,Female Life Expectancy at Birth
1950,11.075,20.647
1950,16.786,33.632
1950,27.129,28.39
1950,27.462,30.736
1950,27.626,28.712
1950,28.013,31.512
1950,28.219,30.928
1950,28.613,35.069
1950,29.003,33.967
1950,29.195,30.981
1950,29.511,34.038
1950,30.081,34.288
1950,30.842,32.674
1950,31.281,35.537
1950,31.57,33.879
1950,32.301,34.044
1950,33.108,34.117
1950,33.179,35.729
1950,33.354,36.427
1950,33.744,37.578
1950,33.865,36.994
1950,34.088,36.73
1950,34.13,36.773
1950,34.241,36.522
1950,34.25,38.545
1950,34.294,35.568
1950,34.334,36.826
1950,34.555,37.083
1950,34.657,38.067
1950,34.766,37.68
1950,35.039,40.003
1950,35.708,38.387
1950,35.748,37.794
1950,35.791,36.582
1950,36.075,38.404
1950,36.192,33.424
1950,36.217,42.09
1950,36.232,38.748
1950,36.236,36.846
1950,36.436,38.838
1950,36.525,36.338
1950,36.657,38.269
1950,36.743,38.474
1950,36.894,40.289
1950,37.013,42.286
1950,37.053,40.34
1950,37.138,39.38
1950,37.336,40.611
1950,37.353,39.451
1950,37.387,37.925
1950,37.415,41.616
1950,37.515,38.816
1950,37.565,39.894
1950,37.602,40.463
1950,37.684,41.381
1950,37.793,40.888
1950,37.849,35.931
1950,37.868,41.003
1950,37.89,42.395
1950,38.15,40.069
1950,38.203,44.461
1950,38.219,38.112
1950,38.283,40.983
1950,38.363,35.686
1950,38.364,42.61
1950,38.401,40.413
1950,38.554,42.777
1950,38.596,38.931
1950,38.678,40.66
1950,38.68,42.515
1950,38.716,42.389
1950,39.008,41.704
1950,39.071,39.79
1950,39.246,41.853
1950,39.416,40.687
1950,39.518,42.608
1950,39.558,43.584
1950,39.752,42.098
1950,39.809,40.191
1950,39.834,43.447
1950,39.853,42.833
1950,39.889,42.175
1950,40.01,42.816
1950,40.031,42.541
1950,40.035,37.853
1950,40.305,45.645
1950,40.328,43.869
1950,40.417,46.066
1950,40.427,44.508
1950,40.496,43.617
1950,40.564,44.422
1950,40.637,43.583
1950,40.799,44.816
1950,40.837,41.409
1950,40.857,45.825
1950,41.166,47.838
1950,41.258,39.687
1950,41.269,48.694
1950,41.317,45.312
1950,41.497,44.43
1950,41.519,40.191
1950,41.655,43.163
1950,42.114,45.607
1950,42.246,44.865
1950,42.294,45.266
1950,42.439,45.582
1950,42.473,46.346
1950,42.522,47.314
1950,42.586,47.877
1950,42.599,40.801
1950,42.719,43.271
1950,42.792,43.909
1950,43.347,45.058
1950,43.411,43.983
1950,43.538,48.47
1950,43.569,43.373
1950,43.619,49.85
1950,43.823,48.351
1950,43.91,42.993
1950,43.999,46.26
1950,44.057,45.641
1950,44.169,55.164
1950,44.288,48.219
1950,44.357,47.003
1950,44.595,48.441
1950,44.8,46.245
1950,44.87,50.645
1950,45.185,47.316
1950,45.214,49.027
1950,45.488,51.025
1950,45.581,46.064
1950,45.598,48.673
1950,45.674,52.345
1950,45.909,53.958
1950,45.92,50.643
1950,46.023,50.24
1950,46.468,52.35
1950,46.512,50.789
1950,46.691,51.13
1950,46.961,46.584
1950,47.017,50.828
1950,47.024,50.647
1950,47.051,48.724
1950,47.18,52.294
1950,47.38,50.83
1950,47.49,50.954
1950,47.553,51.809
1950,47.614,51.346
1950,47.614,52.539
1950,47.631,51.569
1950,47.958,53.09
1950,48.281,47.206
1950,48.431,53.578
1950,48.444,52.877
1950,48.613,53.037
1950,48.748,56.492
1950,48.863,53.876
1950,48.934,53.419
1950,48.972,50.292
1950,48.997,53.513
1950,48.998,57.653
1950,49.035,51.069
1950,49.31,51.157
1950,49.358,55.352
1950,49.395,50.324
1950,49.429,57.297
1950,49.547,52.87
1950,49.581,53.214
1950,50.347,55.059
1950,50.442,53.794
1950,50.494,40.619
1950,50.541,54.674
1950,50.675,54.844
1950,50.849,58.025
1950,50.914,53.333
1950,51.473,58.215
1950,51.573,60.732
1950,51.604,60.904
1950,51.773,54.876
1950,51.793,54.65
1950,51.842,55.85
1950,52.01,56.344
1950,52.033,56.235
1950,52.091,61.128
1950,52.18,55.459
1950,52.2,56.166
1950,52.265,57.371
1950,52.337,55.578
1950,52.427,67.687
1950,52.809,56.799
1950,52.828,61.684
1950,53.062,57.276
1950,53.492,55.567
1950,53.544,57.847
1950,53.573,56.492
1950,53.586,62.123
1950,53.712,56.215
1950,53.897,56.239
1950,54.047,60.199
1950,54.125,64.24
1950,54.394,57.478
1950,54.619,59.086
1950,54.774,58.366
1950,55.131,60.371
1950,55.231,58.748
1950,55.275,63.366
1950,55.412,58.13
1950,55.486,62.508
1950,55.785,61.019
1950,55.969,61.545
1950,56,61.143
1950,56.023,57.384
1950,56.202,59.603
1950,56.317,62.288
1950,56.32,58.966
1950,56.326,61.83
1950,56.428,66.625
1950,57.079,61.133
1950,57.193,62.612
1950,57.492,61.195
1950,57.566,60.885
1950,57.589,61.176
1950,57.803,61.532
1950,58.091,65.477
1950,58.18,65.025
1950,58.242,62.837
1950,58.439,61.317
1950,58.538,61.92
1950,58.789,64.322
1950,58.926,64.175
1950,58.938,62.242
1950,59.024,62.469
1950,59.129,63.132
1950,59.151,62.941
1950,59.17,62.903
1950,59.282,64.115
1950,59.633,63.548
1950,59.693,63.948
1950,59.699,63.272
1950,59.93,64.305
1950,59.962,65.457
1950,60.375,67.922
1950,60.512,66.366
1950,60.703,63.642
1950,60.866,66.068
1950,61.215,66.649
1950,61.949,66.825
1950,62.017,67.074
1950,62.067,62.487
1950,62.181,67.284
1950,62.261,70.484
1950,62.726,70.229
1950,62.807,68.958
1950,62.9,68.817
1950,63.436,69.189
1950,63.815,68.886
1950,63.915,69.073
1950,63.943,67.429
1950,64.134,69.269
1950,64.326,69.519
1950,64.503,66.736
1950,64.581,67.487
1950,64.621,68.195
1950,64.648,71.746
1950,65.397,71.013
1950,65.429,70.951
1950,66.061,69.617
1950,66.073,71.72
1950,66.153,70.582
1950,66.233,70.775
1950,66.24,70.923
1950,66.513,71.716
1950,66.651,71.09
1950,66.674,71.625
1950,66.915,69.57
1950,67.365,72.491
1950,67.411,71.242
1950,67.766,72.596
1950,68.838,73.643
1950,69.105,71.527
1950,69.847,72.445
1950,69.92,73.255
1950,70.313,72.586
1951,,
1951,13.689,25.037
1951,20.842,38.229
1951,27.364,28.634
1951,27.715,30.994
1951,27.768,28.809
1951,28.323,31.892
1951,28.451,31.203
1951,29.293,34.249
1951,29.331,31.126
1951,29.512,34.065
1951,30.412,34.537
1951,30.94,36.201
1951,30.944,32.791
1951,31.56,35.624
1951,31.655,33.941
1951,32.54,34.333
1951,32.97,34.176
1951,33.334,35.945
1951,33.548,36.634
1951,33.619,33.148
1951,33.896,37.662
1951,34.236,37.343
1951,34.297,36.929
1951,34.369,36.798
1951,34.43,36.724
1951,34.488,38.785
1951,34.585,35.809
1951,34.652,38.148
1951,34.655,37.418
1951,34.658,37.204
1951,34.785,37.925
1951,35.277,38.243
1951,35.515,40.371
1951,35.785,36.546
1951,35.836,38.558
1951,36.106,38.148
1951,36.343,38.604
1951,36.378,37.873
1951,36.474,39.005
1951,36.729,39.158
1951,36.953,40.396
1951,36.981,36.861
1951,37.068,39.126
1951,37.108,42.291
1951,37.26,40.081
1951,37.267,39.51
1951,37.333,40.584
1951,37.427,38.011
1951,37.547,34.635
1951,37.556,40.007
1951,37.611,44.065
1951,37.653,40.911
1951,37.712,38.943
1951,37.784,39.956
1951,37.792,40.625
1951,37.87,41.028
1951,37.981,41.713
1951,38.192,41.204
1951,38.319,40.234
1951,38.357,36.604
1951,38.449,43.009
1951,38.495,44.833
1951,38.691,42.876
1951,38.703,40.883
1951,38.897,42.772
1951,38.903,42.995
1951,38.933,38.759
1951,38.983,40.8
1951,38.993,39.628
1951,39.072,41.61
1951,39.109,41.929
1951,39.345,42.223
1951,39.499,40.806
1951,39.763,41.83
1951,39.765,42.801
1951,39.778,43.83
1951,39.816,42.226
1951,40.024,37.482
1951,40.039,42.263
1951,40.083,40.697
1951,40.124,42.929
1951,40.187,38.102
1951,40.258,43.936
1951,40.272,42.791
1951,40.424,44.492
1951,40.849,43.489
1951,40.907,44.982
1951,41.084,45.049
1951,41.151,41.699
1951,41.236,41.56
1951,41.485,48.128
1951,41.512,39.898
1951,41.574,44.309
1951,41.675,49.067
1951,41.707,46.564
1951,41.756,43.241
1951,41.78,40.418
1951,41.791,44.325
1951,41.792,44.809
1951,41.822,45.869
1951,41.984,46.748
1951,42.25,42.694
1951,42.372,47.294
1951,42.635,40.805
1951,42.787,45.345
1951,42.821,47.632
1951,42.841,46.691
1951,42.878,44.007
1951,42.963,46.049
1951,42.981,48.333
1951,42.982,46.385
1951,43.196,46.512
1951,43.415,44.125
1951,43.572,44.162
1951,43.618,48.558
1951,43.698,45.302
1951,44.11,44.144
1951,44.164,46.401
1951,44.437,47.083
1951,44.484,43.825
1951,44.536,48.98
1951,44.629,55.833
1951,44.876,50.632
1951,44.959,51.391
1951,45.331,47.577
1951,45.365,47.543
1951,45.403,48.965
1951,45.507,49.417
1951,45.854,51.257
1951,45.864,46.63
1951,46.16,54.215
1951,46.336,52.865
1951,46.372,49.61
1951,46.598,52.772
1951,46.627,50.778
1951,46.679,48.432
1951,46.898,51.514
1951,47.004,51.261
1951,47.16,51.643
1951,47.216,50.917
1951,47.262,46.832
1951,47.424,50.952
1951,47.515,51.104
1951,47.531,49.223
1951,47.616,48.716
1951,47.653,51.018
1951,47.723,53.947
1951,47.749,52.043
1951,47.769,52.743
1951,47.788,51.661
1951,48.042,52.883
1951,48.443,53.317
1951,48.446,52.796
1951,48.713,53.526
1951,48.837,56.61
1951,48.842,47.943
1951,48.969,53.327
1951,49.047,54.522
1951,49.061,57.797
1951,49.417,55.378
1951,49.538,53.959
1951,49.542,50.876
1951,49.547,53.973
1951,49.586,57.631
1951,49.612,54.066
1951,49.823,54.526
1951,49.941,53.032
1951,49.987,53.584
1951,50.007,51.029
1951,50.072,51.971
1951,50.185,41.027
1951,50.679,54.041
1951,50.926,58.205
1951,50.947,55.212
1951,51.152,55.26
1951,51.523,53.945
1951,51.667,61.114
1951,51.817,60.946
1951,52.018,55.105
1951,52.028,54.977
1951,52.113,61.03
1951,52.182,56.133
1951,52.295,56.723
1951,52.337,56.689
1951,52.409,57.691
1951,52.532,67.818
1951,52.913,56.047
1951,52.94,56.939
1951,53.084,56.954
1951,53.339,57.513
1951,53.368,62.263
1951,53.459,56.551
1951,53.751,62.516
1951,53.939,57.06
1951,53.965,56.09
1951,54.06,56.622
1951,54.279,58.603
1951,54.335,57.718
1951,54.533,60.678
1951,54.572,64.584
1951,54.603,58.752
1951,54.775,57.673
1951,54.983,59.509
1951,55.18,58.892
1951,55.333,60.736
1951,55.546,63.699
1951,55.644,62.546
1951,55.868,58.625
1951,55.986,58.5
1951,56.031,61.15
1951,56.06,61.297
1951,56.136,57.506
1951,56.416,62.465
1951,56.504,61.886
1951,56.789,60.164
1951,56.838,62.17
1951,57.041,61.041
1951,57.261,61.543
1951,57.608,62.957
1951,57.9,57.967
1951,57.908,66.77
1951,58.058,62.302
1951,58.182,63.422
1951,58.458,65.443
1951,58.671,62.058
1951,58.843,62.219
1951,59.042,63.217
1951,59.097,63.787
1951,59.131,62.271
1951,59.214,64.497
1951,59.304,62.613
1951,59.413,63.672
1951,59.425,63.088
1951,59.474,63.954
1951,59.513,65.687
1951,59.6,63.296
1951,59.668,63.214
1951,59.877,63.195
1951,59.956,65.426
1951,60.162,64.751
1951,60.462,64.388
1951,60.763,63.802
1951,61.081,66.302
1951,61.182,66.944
1951,61.25,66.697
1951,61.745,66.642
1951,61.821,62.15
1951,62.257,68.833
1951,62.475,67.812
1951,62.766,67.731
1951,62.807,70.341
1951,62.808,65.9
1951,62.831,68.877
1951,63.051,69.212
1951,63.17,68.896
1951,63.506,66.106
1951,63.523,67.046
1951,63.968,68.982
1951,64.136,67.166
1951,64.291,69.281
1951,64.349,68.636
1951,64.431,69.595
1951,64.493,69.57
1951,64.525,68.896
1951,64.973,71.829
1951,65.411,71.218
1951,65.469,71.166
1951,65.714,70.683
1951,65.999,70.717
1951,66.076,71.591
1951,66.142,72.108
1951,66.237,71.565
1951,66.343,70.972
1951,66.435,70.872
1951,66.722,72.195
1951,66.873,69.322
1951,66.983,71.439
1951,67.643,72.864
1951,69.177,73.42
1951,69.707,72.153
1951,70.039,72.703
1951,70.257,72.76
1951,70.763,74.292
1952,,
1952,26.555,38.89
1952,27.838,29.126
1952,27.957,29.098
1952,28.039,31.323
1952,28.746,32.388
1952,29.039,31.666
1952,29.606,34.218
1952,29.61,31.424
1952,29.645,34.708
1952,31.014,34.949
1952,31.111,33.039
1952,31.763,34.041
1952,31.838,35.943
1952,32.064,43.193
1952,32.653,34.025
1952,32.696,34.512
1952,33.702,36.321
1952,33.936,37.044
