Year,Total Population,Male Population,Female Population,Births,Deaths,Life Expectancy at Birth
1950,2499322157,1245362965,1253959192,92083258,48788536,46.464
1951,2543130380,1267473182,1275657198,92836900,48514552,47.144
1952,2590270899,1291399982,1298870917,97606684,47646612,48.231
1953,2640278797,1316659222,1323619574,97555839,47499083,48.802
1954,2691979339,1342923171,1349056168,100348054,47002805,49.592
1955,2746072141,1370392335,1375679806,101807356,46966099,50.123
1956,2801002631,1398204900,1402797731,101827191,46806573,50.642
1957,2857866857,1426956255,1430910602,105977909,47269070,50.945
1958,2916108097,1456539031,1459569066,104557392,46782736,51.537
1959,2970292188,1483988508,1486303680,101921643,51327051,49.345
1960,3019233434,1508544522,1510688911,102262439,54973677,47.697
1961,3068370609,1533166886,1535203724,100989852,50003182,50.359
1962,3126686743,1562522051,1564164691,112053316,46406404,53.124
1963,3195779247,1597443477,1598335771,119818714,47279567,53.576
1964,3267212338,1633558673,1633653665,117393293,47065427,54.164
1965,3337111983,1668776950,1668335033,117932234,48459854,53.892
1966,3406417036,1703570404,1702846631,117182361,48043572,54.472
1967,3475448166,1738207396,1737240770,116839776,47915489,54.92
1968,3546810808,1774117118,1772693690,121750025,47947975,55.486
1969,3620655275,1811408830,1809246445,122122848,48234879,55.829
1970,3695390336,1849178862,1846211474,124117185,48534128,56.112
1971,3770163092,1886958546,1883204546,123647417,49683953,55.892
1972,3844800885,1924815839,1919985046,123275037,47961807,57.123
1973,3920251504,1963205826,1957045677,123269476,47680360,57.633
1974,3995517077,2001478755,1994038322,122436994,47493921,58.042
1975,4069437231,2038952421,2030484809,120491005,47592762,58.275
1976,4142505882,2075816860,2066689022,120647815,47407648,58.711
1977,4215772490,2112756766,2103015723,120040242,46745923,59.365
1978,4289657708,2149991443,2139666265,121337099,46859945,59.74
1979,4365582871,2188175857,2177407013,124287659,46913597,60.204
1980,4444007706,2227803134,2216204572,126793222,47316613,60.552
1981,4524627658,2268641817,2255985841,129152540,47388185,60.992
1982,4607984871,2310661658,2297323212,132513060,47561960,61.416
1983,4691884238,2352811898,2339072340,130982626,48133880,61.565
1984,4775836074,2394948669,2380887405,133397031,48341286,61.907
1985,4861730613,2438068618,2423661995,135419518,48685438,62.236
1986,4950063339,2482642236,2467421104,138419612,48487102,62.767
1987,5040984495,2528768146,2512216350,140544952,48634087,63.158
1988,5132293974,2575089263,2557204711,139993375,49284175,63.281
1989,5223704308,2621545962,2602158345,141176680,49064192,63.792
1990,5316175862,2668605101,2647570760,142451012,49619695,63.988
1991,5406245867,2714450362,2691795505,137391599,50082059,64.058
1992,5492686093,2758361747,2734324345,135753655,50181618,64.303
1993,5577433523,2801260615,2776172908,134692831,50769036,64.437
1994,5660727993,2843434270,2817293723,134185338,51519238,64.459
1995,5743219454,2885184242,2858035212,133673134,51355462,64.877
1996,5825145298,2926632435,2898512863,133052993,51518770,65.143
1997,5906481261,2967905340,2938575921,132597541,51459177,65.501
1998,5987312480,3008968271,2978344209,132286772,51761764,65.722
1999,6067758458,3049822570,3017935888,132364211,51996609,66.073
2000,6148898975,3091099541,3057799434,134014028,52099819,66.453
2001,6230746982,3132616862,3098130121,133877730,52095282,66.834
2002,6312407360,3173877429,3138529931,134020459,52481447,67.137
2003,6393898365,3215038714,3178859650,134302047,52858472,67.46
2004,6475751478,3256371438,3219380041,135228145,52965047,67.807
2005,6558176119,3298026087,3260150032,135800237,53213356,68.205
2006,6641416218,3340199243,3301216976,136909897,53015851,68.703
2007,6725948544,3383117609,3342830936,138562817,53391816,69.051
2008,6811597272,3426553494,3385043778,140164401,54037662,69.301
2009,6898305908,3470393479,3427912430,141200888,53910189,69.796
2010,6985603105,3514408098,3471195007,141633320,54329194,70.109
2011,7073125425,3558591636,3514533789,142134919,54393800,70.53
2012,7161697921,3603431424,3558266498,144194060,54789783,70.873
2013,7250593370,3648401067,3602192303,143421589,55034447,71.207
2014,7339013419,3693112764,3645900655,143670855,55217575,71.565
2015,7426597537,3737402732,3689194805,142608081,55893034,71.8
2016,7513474238,3781091377,3732382861,143238900,56200615,72.11
2017,7599822404,3824259774,3775562630,142624116,56965958,72.327
2018,7683789828,3866135266,3817654563,139628713,57351675,72.576
2019,7764951032,3906407855,3858543178,137984248,57938525,72.79
2020,7840952880,3943612192,3897340688,135132602,63174308,72.036
2021,7909295151,3976648226,3932646925,133974696,69248154,71.048
