Year,Region,country or area,Location code,Parent code
1950,OCEANIA,Australia/New Zealand,927,909
1951,OCEANIA,Australia/New Zealand,927,909
1952,OCEANIA,Australia/New Zealand,927,909
1953,OCEANIA,Australia/New Zealand,927,909
1954,OCEANIA,Australia/New Zealand,927,909
1955,OCEANIA,Australia/New Zealand,927,909
1956,OCEANIA,Australia/New Zealand,927,909
1957,OCEANIA,Australia/New Zealand,927,909
1958,OCEANIA,Australia/New Zealand,927,909
1959,OCEANIA,Australia/New Zealand,927,909
1960,OCEANIA,Australia/New Zealand,927,909
1961,OCEANIA,Australia/New Zealand,927,909
1962,OCEANIA,Australia/New Zealand,927,909
1963,OCEANIA,Australia/New Zealand,927,909
1964,OCEANIA,Australia/New Zealand,927,909
1965,OCEANIA,Australia/New Zealand,927,909
1966,OCEANIA,Australia/New Zealand,927,909
1967,OCEANIA,Australia/New Zealand,927,909
1968,OCEANIA,Australia/New Zealand,927,909
1969,OCEANIA,Australia/New Zealand,927,909
1970,OCEANIA,Australia/New Zealand,927,909
1971,OCEANIA,Australia/New Zealand,927,909
1972,OCEANIA,Australia/New Zealand,927,909
1973,OCEANIA,Australia/New Zealand,927,909
1974,OCEANIA,Australia/New Zealand,927,909
1975,OCEANIA,Australia/New Zealand,927,909
1976,OCEANIA,Australia/New Zealand,927,909
1977,OCEANIA,Australia/New Zealand,927,909
1978,OCEANIA,Australia/New Zealand,927,909
1979,OCEANIA,Australia/New Zealand,927,909
1980,OCEANIA,Australia/New Zealand,927,909
1981,OCEANIA,Australia/New Zealand,927,909
1982,OCEANIA,Australia/New Zealand,927,909
1983,OCEANIA,Australia/New Zealand,927,909
1984,OCEANIA,Australia/New Zealand,927,909
1985,OCEANIA,Australia/New Zealand,927,909
1986,OCEANIA,Australia/New Zealand,927,909
1987,OCEANIA,Australia/New Zealand,927,909
1988,OCEANIA,Australia/New Zealand,927,909
1989,OCEANIA,Australia/New Zealand,927,909
1990,OCEANIA,Australia/New Zealand,927,909
1991,OCEANIA,Australia/New Zealand,927,909
1992,OCEANIA,Australia/New Zealand,927,909
1993,OCEANIA,Australia/New Zealand,927,909
1994,OCEANIA,Australia/New Zealand,927,909
1995,OCEANIA,Australia/New Zealand,927,909
1996,OCEANIA,Australia/New Zealand,927,909
1997,OCEANIA,Australia/New Zealand,927,909
1998,OCEANIA,Australia/New Zealand,927,909
1999,OCEANIA,Australia/New Zealand,927,909
2000,OCEANIA,Australia/New Zealand,927,909
2001,OCEANIA,Australia/New Zealand,927,909
2002,OCEANIA,Australia/New Zealand,927,909
2003,OCEANIA,Australia/New Zealand,927,909
2004,OCEANIA,Australia/New Zealand,927,909
2005,OCEANIA,Australia/New Zealand,927,909
2006,OCEANIA,Australia/New Zealand,927,909
2007,OCEANIA,Australia/New Zealand,927,909
2008,OCEANIA,Australia/New Zealand,927,909
2009,OCEANIA,Australia/New Zealand,927,909
2010,OCEANIA,Australia/New Zealand,927,909
2011,OCEANIA,Australia/New Zealand,927,909
2012,OCEANIA,Australia/New Zealand,927,909
2013,OCEANIA,Australia/New Zealand,927,909
2014,OCEANIA,Australia/New Zealand,927,909
2015,OCEANIA,Australia/New Zealand,927,909
2016,OCEANIA,Australia/New Zealand,927,909
2017,OCEANIA,Australia/New Zealand,927,909
2018,OCEANIA,Australia/New Zealand,927,909
2019,OCEANIA,Australia/New Zealand,927,909
2020,OCEANIA,Australia/New Zealand,927,909
2021,OCEANIA,Australia/New Zealand,927,909
1950,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1951,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1952,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1953,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1954,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1955,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1956,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1957,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1958,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1959,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1960,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1961,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1962,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1963,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1964,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1965,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1966,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1967,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1968,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1969,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1970,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1971,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1972,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1973,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1974,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1975,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1976,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1977,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1978,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1979,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1980,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1981,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1982,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1983,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1984,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1985,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1986,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1987,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1988,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1989,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1990,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1991,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1992,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
1993,LATIN AMERICA AND THE CARIBBEAN,Caribbean,915,904
